Time,Close,Cum_Return,Volume,Value,symbol,period,limit,maker_fr,taker_fr,Recomandation,Buy,Sell,Neutral
2024-09-29 22:15:00,0.09424,1.0084753017721082,861.62892431,81.24947579649535,PUSHUSDT,15min,48,0.003,0.003,BUY,10,6,10
2024-09-29 22:15:00,0.239858,1.0509209765330625,232.31004586,55.82243746322453,BOBAUSDT,15min,48,0.003,0.003,BUY,10,6,10
2024-09-29 22:15:00,0.5871,0.9982996089100492,84.50044093,49.559793055976,IXSUSDT,15min,48,0.003,0.003,SELL,5,12,9
2024-09-29 22:15:00,1.0465,1.0240728055582742,16.19,16.973939,PROUSDT,15min,48,0.003,0.003,BUY,14,2,10
2024-09-29 22:15:00,0.034191,1.0343356727976765,10923.45516058,376.75188637078986,WELLUSDT,15min,48,0.003,0.003,,,,
2024-09-29 22:15:00,4.3165,1.0001158480074142,593.90251058,2563.848067618683,PENDLEUSDT,15min,48,0.002,0.002,NEUTRAL,7,10,9
2024-09-29 22:15:00,0.095517,1.0125620150108134,844.52109108,80.70097984516357,OGNUSDT,15min,48,0.003,0.003,BUY,15,3,8
2024-09-29 22:15:00,0.000191,1.0213903743315504,85714.99672147,16.37755311751212,WENMOONUSDT,15min,48,0.003,0.003,STRONG_SELL,0,17,9
2024-09-29 22:15:00,1.909e-07,0.9139043679745695,1051266596.5,200.52746192907983,PEIPEIUSDT,15min,48,0.003,0.003,SELL,1,15,10
2024-09-29 22:15:00,0.00113939,1.0255166330645162,15810.0,18.0436571,MOBILEUSDT,15min,48,0.003,0.003,BUY,12,4,10
2024-09-29 22:15:00,6.8318,1.0195651200620832,24.01776792,163.759877693184,ORAIUSDT,15min,48,0.003,0.003,NEUTRAL,9,8,9
2024-09-29 22:15:00,0.00102833,0.9337928153717625,27987.74228019,28.793405700596193,ZUZALUUSDT,15min,48,0.003,0.003,SELL,4,14,8
2024-09-29 22:15:00,23.86,0.9345867606737173,0.8,19.14405,INVUSDT,15min,48,0.003,0.003,SELL,6,11,9
2024-09-29 22:15:00,0.065965,1.0310575510331685,856.48190052,56.51305875635112,SFLUSDT,15min,48,0.003,0.003,BUY,14,2,10
2024-09-29 22:15:00,2.311e-05,1.0047826086956522,918602.24284175,21.231867260728027,NOGSUSDT,15min,48,0.003,0.003,STRONG_BUY,17,0,9
2024-09-29 22:15:00,0.013417,1.025842954354309,8055.0,107.948175,VLXUSDT,15min,48,0.002,0.002,NEUTRAL,7,9,10
2024-09-29 22:15:00,0.046818,0.9647029733572355,929.6535027,43.46452200224158,LOGXUSDT,15min,48,0.003,0.003,,,,
2024-09-29 22:15:00,0.6745,1.0076187630714073,79.75,53.83439,GTCUSDT,15min,48,0.003,0.003,SELL,5,13,8
2024-09-29 22:15:00,154.06,0.9945129429991604,11.50216721,1772.212156007,XMRUSDT,15min,48,0.002,0.002,STRONG_SELL,1,17,8
2024-09-29 22:15:00,0.00098326,0.9643396559502553,80650.0,79.362787,JAMUSDT,15min,48,0.003,0.003,SELL,2,14,10
2024-09-29 22:15:00,0.041428,1.1206145689631855,797.5,33.034847,VEGAUSDT,15min,48,0.003,0.003,BUY,14,4,8
2024-09-29 22:15:00,0.018039,1.1554573405073023,8090.0,145.885865,JOECOINUSDT,15min,48,0.003,0.003,BUY,15,2,9
2024-09-29 22:15:00,1.5571,1.0014148819859798,18.22652659,28.391204744471,XIHSUSDT,15min,48,0.003,0.003,NEUTRAL,8,8,10
2024-09-29 22:15:00,0.2406,1.046541974771641,290.36963688,70.111707776662,XAIUSDT,15min,48,0.003,0.003,BUY,13,4,9
2024-09-29 22:15:00,0.7437,1.0240980446158086,85.36694692,63.577526813788,LITUSDT,15min,48,0.003,0.003,BUY,14,2,10
2024-09-29 22:15:00,0.269866,1.0408043627500125,80.0,21.6050261,ACXUSDT,15min,48,0.003,0.003,BUY,15,3,8
2024-09-29 22:15:00,5.4293e-07,0.9375393929556329,132297794.19,72.75460344986928,FUDUSDT,15min,48,0.003,0.003,SELL,2,14,10
2024-09-29 22:15:00,0.007415,1.0861286070016112,44042.11552707,329.3459747695688,SOCIALUSDT,15min,48,0.003,0.003,BUY,15,1,10
2024-09-29 22:15:00,1.0951,1.014921223354958,59.24744858,65.240424305458,CHATUSDT,15min,48,0.003,0.003,BUY,14,2,10
2024-09-29 22:15:00,0.8964,1.0034702787417444,80.3,71.859135,LONUSDT,15min,48,0.003,0.003,STRONG_SELL,0,17,9
2024-09-29 22:15:00,0.003036,1.0693906305036989,52539.00412197,159.78048753828878,EDOGEUSDT,15min,48,0.003,0.003,BUY,15,2,9
2024-09-29 22:15:00,0.040601,0.9589277279168638,3602.23634093,147.94570180439385,SNIFTUSDT,15min,48,0.003,0.003,,,,
2024-09-29 22:15:00,0.32944,1.0088470101148055,89.33132427,29.38400827722768,TLOSUSDT,15min,48,0.003,0.003,NEUTRAL,9,9,8
2024-09-29 22:15:00,9.7376,1.0161645465265525,265.17569787,2581.561250733572,ICPUSDT,15min,48,0.002,0.002,BUY,15,1,10
2024-09-29 22:15:00,5.8615,1.0061797270620547,2038.49583231,11942.547929840424,TONUSDT,15min,48,0.002,0.002,BUY,10,7,9
2024-09-29 22:15:00,0.3122,1.0375540046527083,695.84100923,214.733112051006,SDAOUSDT,15min,48,0.003,0.003,BUY,16,3,7
2024-09-29 22:15:00,0.9933,1.0963576158940398,31.37167381,31.104832929127,RAILUSDT,15min,48,0.003,0.003,STRONG_BUY,17,1,8
2024-09-29 22:15:00,12.5538,1.000629687786448,7.20290009,90.282147785422,LINKUSDT,15min,48,0.002,0.002,SELL,3,15,8
2024-09-29 22:15:00,0.143893,1.0127604166666673,162.0,23.3469013,KLAYUSDT,15min,48,0.002,0.002,NEUTRAL,9,7,10
2024-09-29 22:15:00,0.4892,1.0473132091629194,166.27991557,81.538956810882,NTRNUSDT,15min,48,0.003,0.003,BUY,13,5,8
2024-09-29 22:15:00,0.097396,0.9831822495003126,158.4,15.4200409,LVLUSDT,15min,48,0.003,0.003,SELL,5,14,7
2024-09-29 22:15:00,0.034899,0.9594754350754677,837.39647254,29.26895927822349,FIOUSDT,15min,48,0.003,0.003,SELL,2,14,10
2024-09-29 22:15:00,0.00106506,0.9771551249587143,857171.64377453,915.7921240296107,NEIROCTOUSDT,15min,48,0.003,0.003,SELL,2,15,9
2024-09-29 22:15:00,1.12891e-05,1.0071550285933497,1281228557.7800074,14460.02462629661,PEPEUSDT,15min,48,0.002,0.002,BUY,13,4,9
